mean,std,max,min,label,filename
-5.684341886080802e-14,2327.665543709857,25613.92725,-30621.07275,1,KC.TARG..HHZ_2024-01-24T01_57_30.144_2024-01-24T02_01_30.144.mseed
1.1920928955078125e-10,2378576.6402198947,7213685.643041667,-7797526.356958333,1,KC.TARG..HHZ_2024-01-22T18_07_19.719_2024-01-22T18_11_19.719.mseed
5.881399071464936e-14,1846.3563975425561,15014.393916666666,-13099.606083333334,1,KC.TARG..HHZ_2024-01-24T00_13_46.823_2024-01-24T00_17_46.823.mseed
5.335702250401179e-14,9044.962629639245,159351.69108333334,-97678.30891666666,1,KC.TARG..HHZ_2024-01-22T21_47_30.579_2024-01-22T21_51_30.579.mseed
-1.406685138742129e-13,9000.47677584359,128522.33291666667,-100649.66708333333,1,KC.TARG..HHZ_2023-05-16T21_55_01.902_2023-05-16T21_59_01.902.mseed
8.549250196665525e-14,2592.656770988028,27333.597125,-27589.402875,1,KC.TARG..HHZ_2023-05-31T07_11_15.799_2023-05-31T07_15_15.799.mseed
9.701276818911235e-14,2446.431727583869,26754.424583333333,-33686.57541666667,1,KC.TARG..HHZ_2024-01-23T02_56_53.495_2024-01-23T03_00_53.495.mseed
3.092281986027956e-14,1288.1303817247003,9640.296666666667,-9634.703333333333,1,KC.TARG..HHZ_2024-01-23T01_41_31.670_2024-01-23T01_45_31.670.mseed
2.316179840515057e-13,10723.498890332552,137103.10445833334,-132860.89554166666,1,KC.TARG..HHZ_2024-01-25T01_42_06.231_2024-01-25T01_46_06.231.mseed
-5.238689482212066e-13,3670.748887080124,28335.500166666665,-32044.499833333335,1,KC.TARG..HHZ_2024-01-22T19_58_09.125_2024-01-22T20_02_09.125.mseed
-3.1225984760870537e-14,7815.256315645065,126365.237125,-110309.762875,1,KC.TARG..HHZ_2024-01-23T23_48_20.458_2024-01-23T23_52_20.458.mseed
2.091837814077735e-14,1886.0986171989152,22008.461916666667,-16751.538083333333,1,KC.TARG..HHZ_2024-01-24T02_37_30.980_2024-01-24T02_41_30.980.mseed
1.4915713109076024e-13,14002.517156023116,177770.33408333332,-227560.66591666668,1,KC.TARG..HHZ_2024-01-23T00_10_56.236_2024-01-23T00_14_56.236.mseed
-5.684948215881983e-12,98754.20402069244,778984.7727083333,-857753.2272916667,1,KC.TARG..HHZ_2023-11-07T18_08_11.819_2023-11-07T18_12_11.819.mseed
